10000
plaque;marque;modele;millesime;kilometrage;categorie;prix;gearbox
RMJ-986;_Kia;ASX;2010;272164;C;108493;1
STZ-669;Bentley;Tipo;2018;32132;B;84849;0
NLM-957;Lexus;Kuga;2012;84861;A;189793;1
ZKG-666;Bentley;308_SW;2013;189345;B;169228;1
ZHX-113;Maserati;Grand_Tourneo_Connect;2008;48106;B;72574;0
CPS-024;Maserati;Alhambra;2006;108154;B;155820;1
GLP-212;Ferrari;GLA-Class;2011;254103;B;97593;0
UBT-665;_Kia;Trafic;2009;62714;A;128191;1
BZM-255;Bentley;Transporter_Shuttle;2009;209687;A;173600;1
CVU-774;Lexus;Mini_Countryman;2006;121339;C;187143;1
NUO-075;Lexus;Tiguan_Allspace;2005;254332;A;135665;1
XBB-041;_General_Motors;Golf;2016;108894;A;125005;0
FAU-304;Volkswagen;C5_Aircross;2015;9493;C;85900;0
UIY-656;Mazda;Venga;2012;151628;B;31539;1
LKJ-377;Maserati;Fabia;2019;233920;A;36562;0
FCZ-543;Subaru;Kona;2012;156876;B;64541;1
EKX-766;_Kia;C-Class;2016;206128;B;71758;1
VZD-641;Ferrari;C3;2015;236661;A;69522;0
RNV-788;Suzuki;Tipo;2011;142923;A;70240;1
WKW-575;Dodge;Soul;2013;278382;A;149053;1
IDR-291;Maserati;Focus;2015;28952;C;113022;1
MWH-505;Toyota;Caddy;2007;223868;C;183642;0
KHV-834;Subaru;Micra;2015;37869;B;155790;0
HDC-463;Toyota;Golf;2018;6226;B;52239;1
WDP-556;Infiniti;Corsa;2014;39375;B;182345;0
KAH-115;Bentley;Kuga;2006;258036;A;126740;0
CBN-492;Aston_Martin;CX-3;2014;238472;C;66555;1
SEA-662;_Peugeot;C5_Aircross;2008;203031;A;181066;0
NOP-764;Suzuki;ix20;2017;291921;C;81550;0
SPN-663;Volkswagen;Vitara;2013;262608;A;81713;1
GOM-156;Maserati;Megane;2013;291507;B;81128;0
IRW-488;_Peugeot;Trafic;2015;267036;B;122841;0
RBA-226;Subaru;Combo_Life;2006;212848;A;49629;0
RMB-494;Ferrari;Insignia_Grand_Sport;2010;56451;B;25276;0
UWY-013;BMW;Captur;2013;174604;B;137722;1
RFC-095;BMW;Crossland_X;2008;77774;A;105038;1
MAC-711;Toyota;A-Class;2008;47060;B;197869;0
SZK-003;_General_Motors;Renegade;2009;255368;A;23224;1
TFP-491;Bentley;up!;2010;8708;A;174423;1
ETG-181;Dodge;Optima;2005;263845;B;195384;1
LWH-277;Dodge;Viva;2011;142047;B;159603;0
EPV-488;Aston_Martin;XC40;2015;227071;C;69710;0
IJX-170;Mazda;Corsa;2008;219453;A;82822;0
WYY-246;Lexus;Insignia_Grand_Sport;2007;46538;A;109687;0
JMV-442;Dodge;Polo;2008;9127;A;157097;1
MLE-079;Jeep;Carens;2006;114397;C;118014;0
IAR-446;Koenigsegg;Vitara;2015;207199;A;107527;1
ROC-719;Subaru;Rifter;2011;271071;A;89935;0
MLV-605;Toyota;Superb;2012;296231;A;63062;1
PRI-298;Toyota;Mirage;2014;210496;B;25326;0
ZWI-757;Dodge;Ateca;2007;152492;C;119052;1
PDQ-000;Lexus;Micra;2006;133163;C;170132;0
SQA-153;Mazda;C-Class;2005;60463;B;64294;1
OXF-798;_General_Motors;Golf;2013;223245;B;59027;0
FLH-027;Subaru;Captur;2014;136190;B;72579;0
LMQ-225;Lexus;Q2;2016;287235;B;142396;1
VNF-418;Jeep;C3_Aircross;2007;235725;A;59942;0
QJK-444;_General_Motors;DS_7_Crossback;2009;70646;A;21978;0
DVD-602;Bentley;595;2016;6995;B;80115;0
NZH-410;Maserati;Niro;2013;246937;B;130813;0
DUO-242;Infiniti;308_SW;2018;12108;A;106911;0
AGE-990;Tata_Motors;Passat;2008;266952;B;49306;1
BBZ-353;Mazda;Q2;2014;145664;C;188511;0
XEU-902;Dodge;C3;2005;77807;B;15542;1
TSF-827;Lexus;Sharan;2008;7346;A;154890;0
AOF-992;Maserati;Tiguan;2019;257766;B;24202;0
ULJ-277;Infiniti;Transporter_Shuttle;2011;290124;A;140867;1
PLC-351;Volkswagen;Outlander;2013;262761;A;19672;1
SXE-909;Koenigsegg;2_Series;2019;141046;B;88502;1
PJA-687;Infiniti;Polo;2014;226376;B;110221;0
KIP-487;Koenigsegg;Megane;2019;152763;A;138821;0
KZG-406;Infiniti;Tucson;2014;188193;B;146336;0
KRC-199;Ferrari;C4_Cactus;2007;121964;B;169102;0
UJL-435;Maserati;Berlingo;2018;252060;B;87579;0
JHO-276;Tata_Motors;B-Class;2012;188133;C;108206;1
NRY-212;Mazda;C3_Aircross;2006;175937;C;38574;1
ZXU-944;Lexus;Citigo;2007;11071;B;118677;1
CAN-452;Aston_Martin;Optima;2016;253130;B;175965;1
VHU-064;Ferrari;C-HR;2012;272317;B;150594;1
WPF-862;Tata_Motors;Ibiza;2018;46321;B;94463;0
BNF-041;_Peugeot;Fiesta;2015;114169;C;83403;0
ZCA-166;Bentley;Twingo;2010;266946;B;106345;0
VLI-784;Mazda;ix20;2011;25212;C;53218;0
HZX-750;Volkswagen;Panda;2013;33082;B;44981;0
EII-533;Dodge;Grandland_X;2017;54779;A;54309;0
DKF-078;Koenigsegg;Mirage;2017;22158;B;49283;0
CVQ-588;Maserati;1_Series;2016;29488;A;169769;1
JCX-679;Lexus;A3;2018;20380;B;82144;1
CPS-380;Subaru;i10;2006;161588;B;57581;0
FEV-787;_General_Motors;Captur;2007;41939;B;162255;1
CRI-663;Lexus;GS;2018;214945;A;64574;1
CQF-979;Koenigsegg;Swift;2017;236169;B;189881;0
KAP-772;Volkswagen;Compass;2011;245181;C;96991;1
YRZ-053;Lexus;Clio;2005;248429;B;143469;1
PYX-557;Bentley;595;2018;35051;B;192656;1
EWX-988;Lexus;Crossland_X;2009;267666;B;175177;1
WIV-983;Subaru;Auris;2008;92307;C;125959;1
XLZ-068;Maserati;Insignia_Grand_Sport;2014;98164;B;179695;0
LZK-185;Infiniti;Grand_Scenic;2018;286391;C;48165;1
JIN-814;_General_Motors;C4_Cactus;2008;130183;A;121957;0
MJL-716;_Kia;IONIQ;2006;35949;A;141740;0
RSP-420;Suzuki;Focus;2019;99248;A;50592;0
AOB-112;Ferrari;308;2010;153280;C;88703;1
CID-542;Bentley;595;2016;255054;B;65237;1
COZ-679;Toyota;ASX;2007;257926;B;124237;0
OJZ-301;Suzuki;Logan_MCV;2007;83479;B;182046;1
NIU-716;BMW;Grandland_X;2013;74297;B;128006;1
HUC-966;_Kia;DS_3;2006;247419;B;88017;0
SJH-959;_Kia;ASX;2010;167284;C;96953;1
TJA-493;Subaru;PROACE_Verso;2016;54217;C;115996;1
JGV-661;Dodge;ASX;2012;132479;C;24523;1
THS-916;Tata_Motors;500L;2009;145109;A;193434;0
HUJ-815;Volkswagen;Mazda6;2018;93239;C;32563;1
DHM-001;_Kia;DS_3;2016;177236;C;39290;1
GSY-429;BMW;Citigo;2019;88437;A;168370;1
GHR-716;_General_Motors;Arona;2007;148890;C;44667;1
EPR-412;Subaru;Koleos;2016;68900;B;65618;1
NTH-285;Maserati;Vito;2008;63790;B;99024;0
EMB-307;Volkswagen;Octavia;2016;11630;B;194154;1
NDK-885;_Peugeot;1_Series;2006;167304;B;145101;1
PDZ-913;Maserati;SpaceTourer;2013;34040;A;179875;1
EUA-391;Toyota;i20;2011;181668;B;186885;1
III-545;_General_Motors;308_SW;2006;166568;A;82187;1
UZE-729;Dodge;A3;2011;220867;A;111234;1
YQI-890;Toyota;C4_SpaceTourer;2010;113651;A;17762;1
GWF-321;_General_Motors;ASX;2006;170474;A;100015;0
XVP-842;Ferrari;B-Class;2010;4662;C;40577;1
JWX-033;Infiniti;Qubo;2012;63871;C;50852;1
PAK-432;Volkswagen;Giulia;2012;226049;B;199471;0
MKC-792;Renault;Tourneo_Connect;2018;180389;A;170861;0
RGM-675;Lexus;DS_7_Crossback;2009;291516;B;185689;0
SZC-853;Renault;B-Class;2015;262541;C;143945;0
TJK-368;_Peugeot;Rio;2019;65262;B;64165;0
IKX-014;_Peugeot;S-MAX;2018;10651;C;53538;1
RXP-180;Subaru;Tucson;2013;160853;B;113494;0
GKC-597;Mazda;C-HR;2008;102784;C;183882;0
CPG-710;_General_Motors;Tourneo_Connect;2016;203967;C;65845;0
SUS-203;Aston_Martin;Giulia;2010;77531;B;199195;1
KXO-012;Renault;Q2;2015;288888;C;119296;0
IDT-684;_Peugeot;Auris;2010;237814;A;96345;0
BFS-519;BMW;fortwo;2016;287207;B;36309;1
MXA-088;Lexus;DS_7_Crossback;2018;182018;C;192880;0
HYA-642;_Peugeot;Citigo;2011;99847;B;88335;1
KNK-246;Volkswagen;Logan_MCV;2019;75853;C;48509;0
WAU-879;Toyota;Grand_Scenic;2006;137657;B;67772;0
USS-903;Bentley;Renegade;2010;107000;C;149417;0
SLT-675;Infiniti;C4_Cactus;2012;196408;C;34769;1
IOZ-015;Mazda;Stonic;2010;206212;A;55980;0
ZVO-778;Lexus;Mirage;2008;41187;A;37590;1
SCQ-051;Toyota;Doblo;2009;103660;B;80780;1
HDK-636;_Kia;508;2016;15309;B;161536;1
GNT-384;_Kia;3008_SUV;2019;162453;C;104984;1
GHR-535;Subaru;Karoq;2017;63448;B;87633;1
SUU-960;Renault;X1;2011;222360;B;102475;0
KSK-961;Jeep;Niro;2010;110874;A;163597;0
JUB-666;Volkswagen;Ibiza;2006;29922;C;142316;1
VSS-715;Volkswagen;DS_3;2009;39264;C;115771;0
CMC-888;Volkswagen;Juke;2010;129745;C;91422;1
NYU-141;Mazda;Renegade;2011;260696;A;87051;1
HOP-427;BMW;fortwo;2006;76875;C;25534;1
MAA-025;_Kia;B-Class;2008;85561;A;36998;1
QWP-946;Aston_Martin;i20;2010;158335;A;182848;0
JWX-086;Subaru;C3;2011;109747;B;61641;0
IDW-230;_General_Motors;Grand_C4_SpaceTourer;2010;50958;B;80916;1
RMM-729;Infiniti;Sandero;2018;294586;A;166687;0
ZGI-970;Toyota;IONIQ;2013;155839;A;163670;1
WQC-196;_General_Motors;Insignia_Grand_Sport;2013;114150;A;109124;0
JZC-441;Jeep;Berlingo;2008;81301;C;141663;1
KVT-053;Renault;Grand_Scenic;2017;55166;B;153459;1
EKX-948;Subaru;C4_SpaceTourer;2005;163948;C;74902;1
JDG-745;Subaru;Insignia_Grand_Sport;2011;247362;B;120033;1
QEH-168;Mazda;DS_7_Crossback;2015;51948;B;118864;1
ICG-753;Suzuki;308_SW;2009;136262;C;69202;0
HHH-234;Suzuki;Prius;2007;90859;A;80550;1
CKN-437;BMW;Clio;2016;200028;A;91307;0
DZT-409;Dodge;Grand_Tourneo_Connect;2011;282408;A;162704;0
TRB-124;Renault;Galaxy;2013;219562;B;48704;0
WKL-294;BMW;108;2014;19274;A;65514;0
GXO-873;Infiniti;Doblo;2017;28755;B;162313;0
XNV-249;Mazda;2008_SUV;2009;82546;C;136440;0
HKD-631;Toyota;A-Class;2009;89857;A;51419;1
LOP-878;Mazda;Auris;2014;105136;C;164998;1
EJH-945;Tata_Motors;508;2010;209045;A;171729;0
XPB-755;Suzuki;A-Class;2019;2589;B;160617;1
CQL-602;Mazda;IONIQ;2009;154977;B;22862;1
DAQ-554;Aston_Martin;308;2005;216326;B;97921;0
EUZ-158;Volkswagen;Venga;2013;47639;B;122824;1
UVP-128;Toyota;C4_Cactus;2014;166475;A;100046;0
MEW-873;Suzuki;Swift;2009;250499;A;178132;1
CWR-333;Volkswagen;S-MAX;2016;57611;C;171836;0
PVU-554;Toyota;Focus;2010;275049;A;169610;0
KTU-509;Volkswagen;DS_7_Crossback;2010;210811;A;121037;0
PRO-070;Jeep;108;2015;162004;A;20068;0
EFQ-685;Aston_Martin;SpaceTourer;2017;229556;A;166842;1
HIV-847;BMW;Optima;2019;116975;C;31361;0
BFK-655;_General_Motors;XC40;2012;83185;B;191379;1
MTD-162;Maserati;Soul;2013;223128;B;69529;1
JKV-462;Bentley;A3;2017;191661;A;76016;1
HFQ-214;Mazda;ADAM;2010;38417;A;148037;0
HVZ-478;BMW;T-ROC;2008;58082;C;95580;0
SDQ-515;BMW;Tipo;2007;49147;A;110306;0
JWU-275;Infiniti;Mazda2;2017;144493;C;19836;0
JRA-556;Koenigsegg;Tourneo_Connect;2014;160687;C;44057;0
YTI-768;Renault;A-Class;2015;119648;C;57857;0
TXW-995;_Kia;Superb;2019;32860;C;146157;1
FEV-222;Suzuki;Logan_MCV;2005;114533;C;167110;0
JQJ-274;_Kia;forfour;2014;172085;B;97977;0
KGR-302;Ferrari;Passat;2007;54562;C;30385;1
CWY-170;Toyota;Qashqai;2006;80508;A;92482;1
TVE-349;Ferrari;CX-3;2015;271502;A;199916;0
FOO-620;Bentley;Megane;2017;284502;C;150531;0
XCA-763;Ferrari;Rifter;2010;105765;A;144294;0
QXZ-073;Ferrari;forfour;2006;214483;C;145118;0
FDN-303;Subaru;C3_Aircross;2019;239422;A;80037;0
JIA-854;_General_Motors;Octavia;2015;101683;A;38550;0
QHQ-704;Koenigsegg;ADAM;2012;246783;A;195921;1
BEV-447;Toyota;208;2013;207086;C;68763;0
VPJ-286;Infiniti;Golf_SV;2010;237156;B;174409;0
PQN-977;Infiniti;CX-3;2010;25904;A;112279;1
IUA-064;Aston_Martin;C-MAX;2005;16910;A;110822;1
SSI-853;Suzuki;5008_SUV;2005;185566;A;87533;1
JWV-340;Infiniti;3008_SUV;2005;18664;C;92061;1
XSG-920;Bentley;Focus;2019;277821;A;163543;1
XNI-072;Aston_Martin;500L;2018;260499;C;183030;1
ZRM-479;Suzuki;CX-5;2018;268207;C;140149;1
TVT-877;Bentley;Mini_Countryman;2012;239757;C;25072;1
EZF-290;Aston_Martin;Insignia_Country_Tourer;2018;66725;A;187322;1
RKS-398;Renault;ASX;2012;54091;A;72070;0
OWX-978;_General_Motors;Swift;2018;276205;C;182245;1
LLA-822;Volkswagen;SpaceTourer;2005;132057;C;61021;0
BJN-347;Aston_Martin;Mini_Countryman;2019;45477;B;109179;1
IXI-166;Jeep;GLA-Class;2005;15167;B;165232;1
BKN-653;Infiniti;Zoe;2018;267581;C;148313;1
JNR-501;Koenigsegg;Juke;2012;289959;C;149451;1
ETM-285;Dodge;Tiguan;2012;139849;C;51092;0
VCQ-121;Ferrari;Fiesta;2014;201737;A;32587;0
NXH-956;BMW;Mazda2;2017;251391;B;35772;0
EMF-469;Bentley;Optima;2008;272300;A;74824;1
RQR-608;Ferrari;Fabia;2005;65530;B;118141;0
TRT-632;Toyota;Sandero;2018;214545;A;172273;0
JKJ-268;Ferrari;Swift;2017;126976;A;18673;0
BCC-666;Infiniti;CX-5;2011;123025;C;83494;0
LHG-271;Volkswagen;5008_SUV;2015;294056;B;168587;0
VKK-580;Subaru;Kodiaq;2012;158615;C;108516;0
ATG-261;Maserati;Duster;2008;296000;B;128521;0
DRY-603;Bentley;2008_SUV;2008;288570;C;37175;1
GZP-485;Koenigsegg;X2;2009;34897;C;29832;0
PGC-808;_Peugeot;Eclipse_Cross;2013;225417;C;149924;1
EKE-328;Koenigsegg;C1;2011;111530;A;149734;0
HYK-668;Dodge;Touran;2009;81219;C;145416;0
VMQ-082;Ferrari;Combo_Life;2008;143972;A;67751;0
OHL-986;Toyota;T-ROC;2012;238867;A;55518;1
SWU-674;Tata_Motors;Tourneo_Courier;2013;283410;B;192234;1
NCI-703;Jeep;Combo_Life;2017;210711;B;39574;0
QEI-473;Jeep;Renegade;2007;63313;A;166903;0
OGE-148;Tata_Motors;Swift;2005;209948;C;66032;1
HSW-996;Jeep;C-MAX;2019;135672;B;183658;1
UER-433;Toyota;Doblo;2016;279800;B;165806;0
UZX-569;_Kia;Fabia;2019;284165;B;174128;0
ANC-478;Ferrari;Mii;2014;258172;C;137952;0
JZH-266;Tata_Motors;Octavia;2009;14241;B;38702;0
KGC-571;Volkswagen;Mirage;2010;49560;C;39543;0
PBF-283;Subaru;Picanto;2007;35228;C;48012;0
DCP-687;Aston_Martin;Outlander;2017;49155;B;62821;1
CJJ-085;Volkswagen;Q2;2006;39180;C;43099;0
WOU-227;BMW;Rifter;2014;146165;C;113994;1
DGV-738;Infiniti;Soul;2013;195847;C;176749;1
OZG-662;Suzuki;ix20;2010;285539;C;194292;0
QQZ-742;Volkswagen;Megane;2017;126726;B;64718;0
FGF-246;Lexus;Karoq;2019;268889;A;140123;0
UKK-873;Aston_Martin;Megane;2013;240330;C;106852;0
AMC-530;Infiniti;Vito;2008;132015;B;100437;1
HTI-177;Ferrari;Grand_C-MAX;2011;236364;A;89292;0
WTE-598;_Peugeot;S-Cross;2011;123099;B;30662;0
GKM-914;Infiniti;S-Cross;2010;108715;A;30280;1
PUT-574;Jeep;Carens;2018;275715;C;43808;0
DQP-334;Suzuki;Rifter;2009;96697;B;138284;0
EZO-186;Dodge;Jazz;2010;242469;A;175603;1
ABU-857;Tata_Motors;2008_SUV;2008;287687;B;127412;0
TOK-360;Ferrari;Kona;2005;129683;C;16753;0
JDV-393;Subaru;Touran;2014;51859;B;31370;0
CSQ-413;Lexus;Tarraco;2007;163164;C;191707;0
GPY-503;Koenigsegg;Carens;2014;250910;C;78416;1
IZM-219;Lexus;Swift;2013;74726;C;124489;0
BYH-697;Suzuki;Ibiza;2015;192708;B;196064;0
PTW-208;Suzuki;up!;2013;69273;B;83512;0
SHS-068;_Peugeot;CLA;2019;184031;A;130498;0
VTI-241;_Kia;Passat;2013;232349;B;188419;0
ASL-094;Jeep;Touran;2014;11569;C;101955;0
RSJ-797;Bentley;Kodiaq;2007;88701;B;23348;1
RKM-477;_General_Motors;Grand_Tourneo_Connect;2011;173599;B;113519;1
BDM-796;Bentley;Giulia;2019;97046;C;142216;0
PVW-534;Subaru;5008_SUV;2008;222270;A;147093;0
RHX-224;Renault;Rio;2012;75297;A;137856;1
OLL-304;Koenigsegg;Grand_Scenic;2005;292647;B;196504;1
WMY-714;_Peugeot;Sharan;2005;72709;A;18153;1
XTP-284;Infiniti;A-Class;2008;29209;A;58985;1
CWK-281;Volkswagen;Sandero;2019;26464;C;23499;0
JRZ-374;Mazda;IONIQ;2017;239691;B;147516;0
JRH-882;Dodge;Celerio;2014;286374;C;171189;1
YXH-754;Mazda;Crossland_X;2007;143723;B;192735;0
EQC-477;Volkswagen;CX-5;2018;91493;C;118603;1
KWQ-368;Mazda;Swift;2013;172899;C;149426;0
CSG-466;Lexus;Logan_MCV;2018;112074;A;168305;1
UAC-615;Infiniti;Grand_C4_SpaceTourer;2017;55489;B;83799;0
PVE-527;Volkswagen;C3;2006;21378;A;29371;1
JMM-777;Tata_Motors;Yaris;2007;202169;C;119043;0
UUR-048;Suzuki;Insignia_Grand_Sport;2012;46556;B;135601;1
JCF-876;Aston_Martin;Mazda2;2014;155725;A;82884;1
ASD-932;Koenigsegg;Doblo;2013;298854;C;192425;1
RYA-534;Dodge;Soul;2019;180878;C;27136;0
DXU-614;Mazda;Captur;2015;116087;A;30643;0
RQA-625;Bentley;C3;2010;204921;B;60462;1
YVJ-684;Volkswagen;S-MAX;2015;23421;B;121338;1
LMF-053;Koenigsegg;Sandero_Stepway;2015;245050;B;16833;1
UKO-619;Lexus;A3;2014;38123;B;77563;1
TBB-523;Subaru;Vitara;2013;264371;A;83423;1
DSX-336;BMW;X1;2015;58594;B;174678;1
ORL-644;_Kia;X1;2016;159677;C;42896;1
YAU-205;BMW;Polo;2018;93081;A;52414;1
IVR-616;_General_Motors;Grandland_X;2018;61741;C;196351;1
PVZ-687;Dodge;Soul;2015;247631;A;93050;0
NFM-251;BMW;Polo;2008;9473;C;49370;0
RNC-760;Volkswagen;Picanto;2014;168955;C;101280;1
AQE-247;Jeep;Vito;2012;223431;A;139930;1
WEW-323;_Peugeot;1_Series;2014;100483;B;132646;0
AZD-917;BMW;Sandero;2009;293784;A;38128;0
BEM-898;Ferrari;Carens;2010;113050;C;38636;1
EDZ-863;BMW;Venga;2015;149971;C;23983;0
ZES-493;Suzuki;3008_SUV;2006;116238;B;77796;0
REH-057;Koenigsegg;C3_Aircross;2013;82409;A;120772;0
BTC-891;Maserati;Golf;2014;47561;C;178472;0
GXE-660;Mazda;Logan_MCV_Stepway;2018;146220;C;197635;0
AXK-841;_Peugeot;A-Class;2018;9777;B;110026;1
LZF-344;Mazda;Leon;2007;247107;B;91433;0
DGN-381;Toyota;A3;2015;201255;B;90652;1
DCA-922;Toyota;5008_SUV;2010;194593;B;39100;1
YYN-062;Subaru;Fiesta;2014;260423;B;111115;0
ZNU-742;Infiniti;Swift;2011;276493;A;92939;0
NDV-686;BMW;Outlander;2010;108006;A;185051;0
RVV-733;Infiniti;A-Class;2008;296589;C;197620;1
ZKM-245;Subaru;Auris;2005;266302;C;82663;0
AWK-315;Renault;Ibiza;2013;166625;C;63860;1
OPV-281;Jeep;500C;2005;7943;A;110926;1
CRW-354;Toyota;Tourneo_Connect;2017;143854;B;54996;0
QMN-816;Maserati;PROACE_Verso;2007;119198;B;109657;1
DOG-168;Maserati;Koleos;2012;73989;B;93946;0
KAS-567;Subaru;Citigo;2014;122940;B;169050;1
CDT-213;Koenigsegg;Mini;2019;59040;B;119286;1
FMW-060;Jeep;Grandland_X;2011;179133;C;145541;0
FJC-292;Renault;C3;2007;268159;C;115424;0
QNS-228;Toyota;Tiguan_Allspace;2019;45210;A;94098;0
HHP-642;Maserati;Karoq;2009;72199;C;193100;1
PBB-491;Infiniti;Picanto;2012;90415;B;81297;1
UDF-328;Dodge;C-MAX;2017;40872;B;132689;0
WQP-611;Lexus;Doblo;2015;179264;A;109790;1
OHV-830;Koenigsegg;Mazda6;2008;266972;A;69048;1
VCC-358;Maserati;A1;2017;74929;A;191019;0
JIL-925;_Kia;SpaceTourer;2017;198268;A;157872;1
QLZ-700;Ferrari;MX-5;2018;13461;A;94281;1
ZDS-016;Volkswagen;CX-3;2009;157818;C;69804;1
YWA-414;Infiniti;Trafic;2016;174398;C;196500;0
MKT-384;Mazda;C3;2008;32041;A;129776;1
LKF-355;Aston_Martin;S-MAX;2011;235921;C;93311;0
GAN-273;Mazda;500;2007;232539;B;45299;0
QNB-362;Toyota;Insignia_Country_Tourer;2008;277372;C;188317;0
TTD-405;BMW;Kona;2006;261773;C;93706;0
ISO-389;Suzuki;308_SW;2012;187528;A;53608;0
VKP-155;Toyota;PROACE_Verso;2019;137833;C;64550;1
AGL-782;Mazda;IONIQ;2017;184699;C;165925;0
TVF-669;Lexus;Vito;2012;157655;C;179669;0
KTS-940;Jeep;Clio;2008;54805;C;164043;1
QOQ-854;_General_Motors;Twingo;2005;224154;C;119612;1
DNS-957;Tata_Motors;Rio;2007;161230;C;139253;0
SSX-152;Suzuki;508;2010;37406;C;101450;0
VNJ-091;Tata_Motors;Berlingo;2011;190880;A;47038;0
RHI-470;_Peugeot;fortwo;2009;32097;C;44157;0
CDL-482;Infiniti;Micra;2011;33483;C;144299;1
JOA-818;Toyota;Celerio;2019;33087;A;119080;1
WJR-402;_General_Motors;Octavia;2012;101805;B;37733;1
VUD-051;Toyota;Giulia;2008;138093;B;109195;1
HEA-013;Bentley;MG3;2019;266064;B;80235;1
DYR-976;BMW;Viva;2017;53085;C;42166;1
LYF-754;Infiniti;CX-5;2009;232487;C;18401;0
OOX-588;Koenigsegg;Touran;2014;46125;A;168403;0
OXG-213;Jeep;Eclipse_Cross;2017;91534;C;15517;0
AVV-706;Koenigsegg;Giulietta;2009;193019;B;66616;0
REE-367;Renault;Micra;2007;134463;C;155620;0
FDL-096;_Peugeot;Jazz;2017;35748;C;35602;1
QPG-504;Tata_Motors;Caddy_Maxi;2014;7037;B;130492;1
GJS-126;Koenigsegg;i800;2011;252305;C;22228;1
YMB-275;_Kia;MX-5;2005;30288;A;117699;0
