100
numero;date_debut;date_fin;categorie;km;client;car
44;18-6-2018-7;6-9-2019-7;A;32040;668411350;US-076-MP
45;15-1-2018-7;29-5-2019-7;C;30938;674750945;NK-672-GU
46;11-7-2018-2;20-12-2018-2;C;22518;677486490;MU-093-VY
47;9-5-2019-4;12-6-2019-4;A;4318;667476570;XA-698-FI
48;6-1-2018-4;16-7-2018-4;B;10123;668411350;FM-760-LZ
49;6-4-2019-5;5-7-2019-5;B;10080;667492549;CJ-460-MC
50;14-1-2018-6;8-4-2019-6;A;29185;692208649;TX-681-YL
51;16-1-2019-6;5-7-2019-6;C;15810;674868616;QP-570-ON
52;26-5-2018-7;17-3-2019-7;C;21240;679170160;UR-436-WE
53;12-6-2019-6;5-10-2019-6;A;12075;695662040;VN-600-IN
54;2-12-2018-9;6-7-2019-9;A;25488;668411350;YE-960-WA
55;6-4-2019-4;22-8-2019-4;C;18630;676137687;GY-475-YO
56;29-3-2018-5;1-3-2019-5;C;45158;695420647;SF-445-VT
57;17-9-2018-5;15-10-2018-5;B;4116;666599484;MD-325-EH
58;12-10-2018-7;9-4-2019-7;B;11277;659858368;HH-027-WE
59;8-3-2018-10;26-6-2018-10;B;8140;694619245;MD-325-EH
60;1-10-2018-9;16-12-2018-9;A;11172;690825793;OE-229-AB
61;1-1-2018-7;17-12-2018-7;B;33250;665955917;FY-302-ST
62;3-11-2019-3;27-12-2019-3;C;3348;684526612;BS-975-XG
63;24-9-2018-11;9-6-2019-11;C;29154;666599484;ZX-433-YS
64;21-5-2018-11;9-9-2018-11;B;12321;661525667;US-858-GN
65;22-6-2018-7;24-8-2019-7;A;37236;664431125;TG-251-AV
66;9-7-2018-8;7-10-2019-8;B;38675;670093863;NW-735-RL
67;22-8-2018-11;28-10-2019-11;C;54000;661525667;ZY-110-BJ
68;21-7-2018-8;15-10-2019-8;B;50963;674750945;MD-325-EH
69;3-9-2019-2;23-11-2019-2;C;6966;670540687;SF-445-VT
70;16-7-2018-9;18-12-2019-9;B;58240;689372763;UY-450-DB
71;4-5-2018-12;25-9-2019-12;B;29522;667492549;KW-733-RT
72;24-3-2018-1;2-10-2018-1;A;24192;688869606;VN-600-IN
73;23-6-2018-9;21-8-2019-9;C;22048;695662040;UW-647-EQ
74;14-1-2018-1;17-1-2019-1;B;39376;692388411;HW-288-SL
75;11-12-2018-8;7-10-2019-8;C;37800;694915119;QL-421-OZ
76;1-3-2018-11;29-9-2018-11;A;22684;684526612;LR-485-MW
77;1-6-2018-7;15-7-2018-7;B;5500;660517935;HH-027-WE
78;13-6-2019-6;24-11-2019-6;C;11480;666167395;MU-093-VY
79;7-2-2018-11;22-5-2018-11;C;9360;659038757;ZY-110-BJ
80;12-6-2018-12;16-8-2019-12;B;48590;659660856;FH-834-RB
81;9-4-2019-7;24-11-2019-7;A;14656;694915119;TX-681-YL
82;6-10-2018-10;26-2-2019-10;C;15158;694915119;UN-722-WP
83;1-5-2018-7;21-9-2018-7;A;17017;693469125;TX-681-YL
84;26-9-2018-8;5-3-2019-8;A;14880;668403512;TT-298-ZC
85;6-7-2018-9;20-3-2019-9;A;24929;679475067;YE-960-WA
86;21-8-2018-6;6-12-2019-6;C;40120;679393322;XE-979-KY
87;3-3-2018-11;17-4-2019-11;B;61090;686717162;TK-075-PV
88;21-6-2019-5;20-7-2019-5;B;3857;660487295;FH-834-RB
89;6-2-2018-4;11-9-2019-4;C;30264;685275333;ZX-433-YS
90;1-6-2018-9;10-6-2018-9;C;585;668105057;XT-334-SS
91;16-6-2018-10;17-8-2019-10;C;29036;678303098;NK-672-GU
92;14-5-2019-6;7-6-2019-6;A;3456;686717162;KS-825-AH
93;25-11-2018-4;16-12-2018-4;B;2142;692427684;VI-037-ND
94;7-8-2018-1;1-9-2019-1;B;41340;668403512;TF-071-RG
95;18-3-2019-3;6-9-2019-3;A;24080;685974678;VN-600-IN
96;16-9-2018-1;23-1-2019-1;B;15738;666831212;QZ-429-XC
97;29-1-2018-12;1-6-2019-12;C;56608;668762659;FO-553-XX
98;14-2-2019-11;16-8-2019-11;A;17751;688869606;BE-664-XH
99;19-8-2018-6;31-7-2019-6;B;31832;680368639;YN-174-CI
